V1	V2
6730.349	0.3475917
6734.206	0.3477538
6738.063	0.3479655
6741.919	0.3481394
6745.776	0.3482131
6749.633	0.3482957
6753.49	0.348412
6757.347	0.3485714
6761.204	0.3486937
6765.061	0.3487743
6768.918	0.3488957
6772.775	0.3490324
6776.632	0.3490886
6780.489	0.3492847
6784.346	0.3494403
6788.203	0.3494696
6792.06	0.3494716
6795.917	0.3495633
6799.773	0.3495796
6803.63	0.3496821
6807.487	0.3498762
6811.344	0.349868
6815.201	0.3497261
6819.058	0.3497853
6822.915	0.3497676
6826.772	0.3497278
6830.629	0.3496498
6834.486	0.3496718
6838.343	0.3497901
6842.2	0.3497351
6846.057	0.3495913
6849.914	0.3494994
6853.771	0.3494122
6857.627	0.3492814
6861.484	0.3493223
6865.341	0.3493218
6869.198	0.3491458
6873.055	0.3490461
6876.912	0.3489114
6880.769	0.3487959
6884.626	0.3487089
6888.483	0.3484448
6892.34	0.3481726
6896.197	0.3481415
6900.054	0.348141
6903.911	0.3480381
6907.768	0.3478447
6911.625	0.3475028
6915.481	0.3471331
6919.338	0.3469619
6923.195	0.3468202
6927.052	0.3464946
6930.909	0.3461969
6934.766	0.3458945
6938.623	0.3454993
6942.48	0.3452182
6946.337	0.3447493
6950.194	0.3441031
6954.051	0.3435613
6957.908	0.3430722
6961.765	0.3426438
6965.622	0.3420267
6969.479	0.3413095
6973.335	0.3407269
6977.192	0.3400873
6981.049	0.3392361
6984.906	0.3385659
6988.763	0.3378394
6992.62	0.3369657
6996.477	0.3359771
7000.334	0.3350213
7004.191	0.3341892
7008.048	0.3334081
7011.905	0.3323987
7015.762	0.3313482
7019.619	0.3302506
7023.476	0.3290315
7027.333	0.328116
7031.189	0.3272052
7035.046	0.3259933
7038.903	0.3248604
7042.76	0.323685
7046.617	0.322465
7050.474	0.3214275
7054.331	0.3203366
7058.188	0.3193587
7062.045	0.318209
7065.902	0.3169143
7069.759	0.3155573
7073.616	0.3146522
7077.473	0.313798
7081.33	0.3127539
7085.187	0.3117712
7089.043	0.3106343
7092.9	0.3091815
7096.757	0.3083476
7100.614	0.307712
7104.471	0.3064458
7108.328	0.305648
7112.185	0.3048327
7116.042	0.3034328
7119.899	0.3029045
7123.756	0.3025876
7127.613	0.3017756
7131.47	0.3008031
7135.327	0.2995912
7139.184	0.2986371
7143.041	0.2982564
7146.897	0.2982259
7150.754	0.2978313
7154.611	0.2970286
7158.468	0.2959437
7162.325	0.2952003
7166.182	0.2947247
7170.039	0.2947637
7173.896	0.2946865
7177.753	0.2938768
7181.61	0.2931399
7185.467	0.2932546
7189.324	0.2929955
7193.181	0.2925955
7197.038	0.2922925
7200.895	0.2914229
7204.751	0.2909513
7208.608	0.2911578
7212.465	0.2906972
7216.322	0.2902165
7220.179	0.2899681
7224.036	0.2898288
7227.893	0.2889332
7231.75	0.2883634
7235.607	0.2890269
7239.464	0.2885335
7243.321	0.2882937
7247.178	0.2888907
7251.035	0.2884694
7254.892	0.2885681
7258.749	0.2884389
7262.605	0.2881635
7266.462	0.2881581
7270.319	0.2879752
7274.176	0.2877972
7278.033	0.2878681
7281.89	0.2876799
7285.747	0.2873879
7289.604	0.2870744
7293.461	0.2869186
7297.318	0.2868399
7301.175	0.2868771
7305.032	0.2865349
7308.889	0.2861529
7312.746	0.2862174
7316.603	0.2863917
7320.459	0.2860141
7324.316	0.2853432
7328.173	0.2853864
7332.03	0.2857927
7335.887	0.2852088
7339.744	0.284178
7343.601	0.2842235
7347.458	0.2844919
7351.315	0.2844319
7355.172	0.2841997
7359.029	0.2842758
7362.886	0.2840957
7366.743	0.2838358
7370.6	0.2838202
7374.457	0.2834588
7378.313	0.2830809
7382.17	0.2830507
7386.027	0.283205
7389.884	0.2830235
7393.741	0.2828631
7397.598	0.2828745
7401.455	0.2826344
7405.312	0.2823758
7409.169	0.2824754
7413.026	0.2820892
7416.883	0.2818294
7420.74	0.2818692
7424.597	0.2817823
7428.454	0.2816187
7432.311	0.2813653
7436.167	0.2810423
7440.024	0.2809606
7443.881	0.2808534
7447.738	0.2807827
7451.595	0.2806558
7455.452	0.2804517
7459.309	0.2801685
7463.166	0.2800294
7467.023	0.2798689
7470.88	0.2798174
7474.737	0.2796581
7478.594	0.2792795
7482.451	0.2792157
7486.308	0.2792166
7490.165	0.2790844
7494.021	0.2789689
7497.878	0.2788638
7501.735	0.2786374
7505.592	0.2785297
7509.449	0.2784351
7513.306	0.2783182
7517.163	0.2782326
7521.02	0.2782045
7524.877	0.2780458
7528.734	0.2777872
7532.591	0.2777966
7536.448	0.2776959
7540.305	0.2774585
7544.162	0.2775981
7548.019	0.2775283
7551.875	0.277339
7555.732	0.2772558
7559.589	0.2772909
7563.446	0.2773096
7567.303	0.2771319
7571.16	0.2770127
7575.017	0.2769778
7578.874	0.2769538
7582.731	0.2768472
7586.588	0.2767738
7590.445	0.2767374
7594.302	0.2767154
7598.159	0.2766052
7602.016	0.276413
7605.873	0.2763364
7609.729	0.276364
7613.586	0.2764419
7617.443	0.2763946
7621.3	0.2761984
7625.157	0.2761347
7629.014	0.2761944
7632.871	0.2762535
7636.728	0.2760302
7640.585	0.2758901
7644.442	0.2759865
7648.299	0.2760464
7652.156	0.2759824
7656.013	0.2759174
7659.87	0.2758869
7663.727	0.2758634
7667.583	0.2758934
7671.44	0.2758687
7675.297	0.2757501
7679.154	0.2756855
7683.011	0.2757077
7686.868	0.2756698
7690.725	0.2756945
7694.582	0.2757152
7698.439	0.2756355
7702.296	0.2755963
7706.153	0.275641
7710.01	0.2756412
7713.867	0.2755904
7717.724	0.2755718
7721.581	0.2756052
